"","V1","Link","Title","Authors","Contributors","ISBN.UID","Format","Read.Status","Date.Added","Last.Date.Read","Dates.Read","Read.Count","Moods","Pace","Character..or.Plot.Driven.","Strong.Character.Development.","Loveable.Characters.","Diverse.Characters.","Flawed.Characters.","Star.Rating","Review","Content.Warnings","Content.Warning.Description","Tags","Owned.","Description","FRE","adventurous","challenging","dark","emotional","funny","hopeful","informative","inspiring","lighthearted","mysterious","reflective","relaxing","sad","tense","recc"
"170",216,"https://app.thestorygraph.com/books/61be343e-a651-4598-83e7-6c429b5a03c5","House of Roots and Ruin","Erin A. Craig","","9.78E+12","hardcover","read","12/27/2023","1/5/2024","2024/01/04-2024/01/05",1,"adventurous, dark, mysterious, tense","medium","Plot","Yes","It's complicated","No","Yes",5,"<div>What did I just READ?<br><br>I greatly preferred this to House of Salt and Sorrows, but take that with the grain of salt that this book is kind of way more insane in its twists and turns. The pacing is pretty typical for the first half and breakneck in the second, but I didn’t find it overly jarring.&nbsp;<br><br>The only thing that may not hit for everyone like it did for me is that the characters themselves, or at least the main pair, are easily the least interesting part of the book. I do think that the wheelchair user representation is super intriguing—the conversations between the main two about it are very sweet, the accommodation of it in the main setting is cool, the fact that we’re not ignoring ableism’s existence is nice!<br><br>Overall, dying to know what happens next, hoping this isn’t a standalone??</div>","Graphic: Death, Pregnancy, Body horror, Child death, Miscarriage, and Death of parent; Minor: Rape, Infertility, and Ableism; ",NA,NA,"No","A modern masterpiece, this is a classic Gothic thriller-fantasy from New York Times bestselling author Erin A. Craig, about doomed love, menacing ambition, and the ghosts that haunt us forever.In a manor by the sea, one sister is still cursed.Despite dreams of adventures far beyond the Salann shores, seventeen-year-old Verity Thaumas has remained at her family’s estate, Highmoor, with her older sister Camille, while their sisters have scattered across Arcannia.When their sister Mercy sends word that the Duchess of Bloem—wife of a celebrated botanist—is interested in having Verity paint a portrait of her son, Alexander, Verity jumps at the chance, but Camille won’t allow it. Forced to reveal the secret she’s kept for years, Camille tells Verity the truth one day: Verity is still seeing ghosts, she just doesn’t know it.Stunned, Verity flees Highmoor that night and—with nowhere else to turn—makes her way to Bloem. At first, she is captivated by the lush, luxurious landscape and is quickly drawn to charming, witty, and impossibly handsome Alexander Laurent. And soon, to her surprise, a romance . . . blossoms.But it’s not long before Verity is plagued with nightmares, and the darker side of Bloem begins to show through its sickly-sweet façade. . . .",39.94,1,0,1,0,0,0,0,0,0,1,0,0,0,1,"Yes"
"78",103,"https://app.thestorygraph.com/books/2e9efe58-a34d-47df-af90-7ee4b42f0157","The Moth Girl","Heather Kamins","","9.78E+12","hardcover","read","8/4/2022","8/4/2022","2022/08/04-2022/08/04",1,"challenging, emotional, hopeful, reflective","fast","Character","Yes","Yes","It's complicated","Yes",3.75,"","",NA,NA,"No","Flying doesn’t always mean freedom.\n \n\nAnna is a regular teenaged girl. She runs track with her best friend, gets good grades, and sometimes drinks beer at parties.\n \nBut one day at track practice, Anna falls unconscious . . . but instead of falling down, she falls up, defying gravity in the disturbing first symptom of a mysterious disease.\n \nThis begins a series of trips to the hospital that soon become Anna’s norm. She’s diagnosed with lepidopsy: a rare illness that causes symptoms reminiscent of moths: floating, attraction to light, a craving for sugar, and for an unlucky few, more dangerous physical manifestations.\n \nAnna’s world is turned upside down, and as she learns to cope with her illness, she finds herself drifting further and further away from her former life. Her friends don’t seem to understand, running track is out of the question, and the other kids at the disease clinic she attends once a week are a cruel reminder that things will never be the same.\n \nFrom debut author Heather Kamins comes a beautiful and evocative story about one girl’s journey of choosing who she wants to be–in a life she never planned for.\n\n",31.42,0,1,0,1,0,1,0,0,0,0,1,0,0,0,"Yes"
"321",399,"https://app.thestorygraph.com/books/a5da6127-beb2-44b9-aba6-f63de4327707","Remarkably Bright Creatures","Shelby Van Pelt","","9.78E+12","hardcover","read","6/3/2023","8/2/2023","2023/07/31-2023/08/02",1,"emotional, hopeful, reflective","medium","Character","Yes","Yes","No","No",3.75,"","",NA,NA,"Yes","A charming, witty, and compulsively readable exploration of friendship, reckoning, and hope that traces a widow\'s unlikely connection with a giant pacific octopus.After Tova Sullivan\'s husband died, she began working the night shift at the Sowell Bay Aquarium, mopping floors and tidying up. Keeping busy has always helped her cope, which she\'s been doing since her eighteen-year-old son, Erik, mysteriously vanished on a boat in the Puget Sound over thirty years ago.Tova becomes acquainted with curmudgeonly Marcellus, a giant Pacific octopus living at the aquarium. Marcellus knows more than anyone can imagine but wouldn\'t dream of lifting one of his eight tentacles for his human captors—until he forms an unlikely friendship with Tova.&nbsp;Ever the detective, Marcellus deduces what happened the night Tova\'s son disappeared. And now Marcellus must use every trick his old invertebrate body can muster to unearth the truth for her before it\'s too late.Shelby Van Pelt\'s debut novel is a gentle reminder that sometimes taking a hard look at the past can help uncover a future that once felt impossible.",27.53,0,0,0,1,0,1,0,0,0,0,1,0,0,0,"Yes"
"456",572,"https://app.thestorygraph.com/books/ee5f4585-5780-485c-af7d-24e82d651a71","Honey Girl","Morgan Rogers","","9.78E+12","paperback","read","3/31/2023","3/31/2023","2023/03/30-2023/03/31",1,"emotional, reflective","medium","Character","Yes","It's complicated","Yes","Yes",3,"","",NA,NA,"Yes","With her newly completed PhD in astronomy in hand, twenty-eight-year-old Grace Porter goes on a girls’ trip to Vegas to celebrate. She’s a straight A, work-through-the-summer certified high achiever. She is not the kind of person who goes to Vegas and gets drunkenly married to a woman whose name she doesn’t know…until she does exactly that.This one moment of departure from her stern ex-military father’s plans for her life has Grace wondering why she doesn’t feel more fulfilled from completing her degree. Staggering under the weight of her parent’s expectations, a struggling job market and feelings of burnout, Grace flees her home in Portland for a summer in New York with the wife she barely knows.In New York, she’s able to ignore all the constant questions about her future plans and falls hard for her creative and beautiful wife, Yuki Yamamoto. But when reality comes crashing in, Grace must face what she’s been running from all along—the fears that make us human, the family scars that need to heal and the longing for connection, especially when navigating the messiness of adulthood.",43.19,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"No"
"272",341,"https://app.thestorygraph.com/books/8f403954-2950-4903-bdc3-cecb460279e2","Iron Widow","Xiran Jay Zhao","","9.78E+12","hardcover","read","5/18/2022","5/18/2022","2022/05/17-2022/05/18",1,"adventurous, dark, hopeful, mysterious, tense","medium","A mix","Yes","Yes","Yes","It's complicated",5,"","",NA,NA,"Yes","Pacific Rim meets The Handmaid’s Tale in this blend of Chinese history and mecha science fiction for YA readers.\n\nThe boys of Huaxia dream of pairing up with girls to pilot Chrysalises, giant transforming robots that can battle the mecha aliens that lurk beyond the Great Wall. It doesn’t matter that the girls often die from the mental strain.\n \nWhen 18-year-old Zetian offers herself up as a concubine-pilot, it’s to assassinate the ace male pilot responsible for her sister’s death. But she gets her vengeance in a way nobody expected—she kills him through the psychic link between pilots and emerges from the cockpit unscathed. She is labeled an Iron Widow, a much-feared and much-silenced kind of female pilot who can sacrifice boys to power up Chrysalises instead.​\n \nTo tame her unnerving yet invaluable mental strength, she is paired up with Li Shimin, the strongest and most controversial male pilot in Huaxia​. But now that Zetian has had a taste of power, she will not cower so easily. She will miss no opportunity to leverage their combined might and infamy to survive attempt after attempt on her life, until she can figure out exactly why the pilot system works in its misogynist way—and stop more girls from being sacrificed.",44.92,1,0,1,0,0,1,0,0,0,1,0,0,0,1,"Yes"
"450",561,"https://app.thestorygraph.com/books/e998a8c5-82b0-47f3-a78e-016afec2a39d","Catfish Rolling","Clara Kumagai","","9.78E+12","hardcover","read","12/21/2023","12/22/2023","2023/12/20-2023/12/22",1,"adventurous, challenging, dark, emotional, mysterious","medium","Character","Yes","Yes","Yes","Yes",3.5,"","",NA,NA,"Yes","A dazzling debut. Magic-realism blends with Japanese myth and legend in an original story about grief, memory, time and an earthquake that shook a nation.&nbsp;There\'s a catfish under the islands of Japan and when it rolls the land rises and falls.&nbsp;Sora hates the catfish whose rolling caused an earthquake so powerful it cracked time itself. It destroyed her home and took her mother. Now Sora and her scientist father live close to the zones – the wild and abandoned places where time runs faster or slower than normal. Sora is sensitive to the shifts, and her father recruits her help in exploring these liminal spaces.&nbsp;But it\'s dangerous there – and as she strays further inside in search of her mother, she finds that time distorts, memories fracture and shadows, a glimmer of things not entirely human, linger. After Sora\'s father goes missing, she has no choice but to venture into uncharted spaces within the time zones to find him, her mother and perhaps even the catfish itself...Stylish, accomplished and thought-provoking story-telling explores themes of identity, philosophy, science, ecology, life, loss and love.&nbsp;",49.18,1,1,1,1,0,0,0,0,0,1,0,0,0,0,"No"
"229",287,"https://app.thestorygraph.com/books/7c1ea951-6efc-4997-8724-6b18d1363c08","Salt Magic","Hope Larson, Rebecca Mock","","9.78E+12","hardcover","read","4/6/2022","4/5/2022","4/5/2022",1,"adventurous, emotional, mysterious","fast","A mix","Yes","Yes","No","Yes",4.5,"","",NA,NA,"No","When a jealous witch curses her family\'s well, it\'s up to Vonceil to set things right in an epic journey that will leave her changed forever.When Vonceil\'s older brother, Elber, comes home to their family\'s Oklahoma farm after serving on the front lines of World War I, things aren\'t what she expects. His experiences have changed him into a serious and responsible man who doesn\'t have time for Vonceil anymore. He even marries the girl he had left behind.&nbsp;Then a mysterious and captivating woman shows up at the farm and confronts Elber for leaving her in France. When he refuses to leave his wife, she puts a curse on the family well, turning the entire town\'s water supply into saltwater. Who is this lady dressed all in white, what has she done to the farm, and what does Vonceil\'s old uncle Dell know about her?&nbsp;To find out, Vonceil will have to strike out on her own and delve deep into the world of witchcraft, confronting dangerous relatives, shapeshifting animals, a capricious Sugar Witch, and the Lady in White herself--the foreboding Salt Witch. The journey will change Vonceil, but along the way she\'ll learn a lot about love and what it means to grow up.&nbsp;Hope Larson is the author and illustrator of the Eisner Award nominated All Summer Long and the illustrator of the Eisner Award winning A Wrinkle in Time: The Graphic Novel. Salt Magic is an utterly unique graphic fairy tale complete with striking illustrations by Rebecca Mock.",52.26,1,0,0,1,0,0,0,0,0,1,0,0,0,0,"Yes"
"308",386,"https://app.thestorygraph.com/books/a2e56c99-ed3c-4399-94f6-d2429138c019","Wellness","Nathan Hill","","9.78E+12","hardcover","read","10/12/2023","10/17/2023","2023/10/11-2023/10/17",1,"challenging, emotional, hopeful, reflective, sad","medium","Character","Yes","Yes","No","Yes",5,"","",NA,NA,"Yes","The New York Times best-selling author of The Nix is back with a poignant and witty novel about marriage, the often baffling pursuit of health and happiness, and the stories that bind us together. From the gritty ’90s Chicago art scene to a suburbia of detox diets and home-renovation hysteria, Wellness reimagines the love story with a healthy dose of insight, irony, and heart.When Jack and Elizabeth meet as college students in the ’90s, the two quickly join forces and hold on tight, each eager to claim a place in Chicago’s thriving underground art scene with an appreciative kindred spirit. Fast-forward twenty years to married life, and alongside the challenges of parenting, they encounter cults disguised as mindfulness support groups, polyamorous would-be suitors, Facebook wars, and something called Love Potion Number Nine.For the first time, Jack and Elizabeth struggle to recognize each other, and the no-longer-youthful dreamers are forced to face their demons, from unfulfilled career ambitions to painful childhood memories of their own dysfunctional families. In the process, Jack and Elizabeth must undertake separate, personal excavations, or risk losing the best thing in their lives: each other.",32.23,0,1,0,1,0,1,0,0,0,0,1,0,1,0,"Yes"
"385",476,"https://app.thestorygraph.com/books/c40d19f1-5818-477e-b2ec-e859734e1fa9","The Last Voyage of Poe Blythe","Ally Condie","","9.78E+12","hardcover","read","1/24/2023","1/25/2023","2023/01/23-2023/01/25",1,"adventurous, emotional, mysterious","medium","A mix","Yes","It's complicated","No","Yes",3.5,"","",NA,NA,"No","Poe Blythe is the young captain of her failing city\'s last mining ship, travelling the Serpentine River and dredging up gold.But it isn\'t gold on her mind. Two years ago, river raiders robbed Poe of everything. And she wants revenge.As she navigates the treacherous waters and realises there\'s a traitor among her crew, Poe is forced to confront the dangerous truth about why she has been sent on this journey - and reckon with who she has become.",62.31,1,0,0,1,0,0,0,0,0,1,0,0,0,0,"No"
"115",146,"https://app.thestorygraph.com/books/439ec833-519f-411a-a7a9-f054f4c26338","Going Dark","Melissa de la Cruz","","9.78E+12","hardcover","read","5/9/2023","5/8/2023","2023/05/08-2023/05/08",1,"dark, mysterious, tense","medium","A mix","It's complicated","It's complicated","Yes","Yes",4.25,"","",NA,NA,"No","From #1 New York Times bestselling author Melissa de la Cruz comes a ripped-from-the-headlines new adult mystery about all the missing girls who fall off the radar…&nbsp; &nbsp;#WhereisAmeliaAshleyThe InfluencerAmelia Ashley shares everything with her followers – her favorite hole-in-the-wall restaurants, her best fashion tips, and her European trip-of-a-lifetime with her hot boyfriend.The BoyfriendJosh has no choice but to return home without Amelia after she abandons him in Rome. He has no clue where she went or how her blood got in his suitcase. Why won’t anyone believe him?The HackerTo Harper Delgado, Amelia Ashley is just another missing white girl whipping up a media frenzy. But with each digital knot she untangles about the influencer, Harper wonders: who is Amelia Ashley?The Other GirlTwo years ago, another girl went missing, one who never made headlines or had a trending hashtag.The TruthAmelia’s disappearance has captured the world’s attention. What comes next? Watch this space…",54.36,0,0,1,0,0,0,0,0,0,1,0,0,0,1,"Yes"
"174",223,"https://app.thestorygraph.com/books/646215bb-5b3c-48f2-9825-6b947f9a19d2","Harrow the Ninth","Tamsyn Muir","","9.78E+12","hardcover","read","11/27/2022","1/6/2023","2023/01/01-2023/01/06",1,"challenging, dark, emotional, mysterious","medium","A mix","Yes","Yes","Yes","Yes",3.75,"","",NA,NA,"Yes","She answered the Emperor\'s call.\nShe arrived with her arts, her wits, and her only friend.\nIn victory, her world has turned to ash.\nAfter rocking the cosmos with her deathly debut, Tamsyn Muir continues the story of the penumbral Ninth House in Harrow the Ninth, a mind-twisting puzzle box of mystery, murder, magic, and mayhem. Nothing is as it seems in the halls of the Emperor, and the fate of the galaxy rests on one woman\'s shoulders.\nHarrowhark Nonagesimus, last necromancer of the Ninth House, has been drafted by her Emperor to fight an unwinnable war. Side-by-side with a detested rival, Harrow must perfect her skills and become an angel of undeath — but her health is failing, her sword makes her nauseous, and even her mind is threatening to betray her.\nSealed in the gothic gloom of the Emperor\'s Mithraeum with three unfriendly teachers, hunted by the mad ghost of a murdered planet, Harrow must confront two unwelcome questions: is somebody trying to kill her? And if they succeeded, would the universe be better off? ",44.75,0,1,1,1,0,0,0,0,0,1,0,0,0,0,"Yes"
"145",185,"https://app.thestorygraph.com/books/52691ea5-a9ba-404d-b4c1-ced98954f858","Descendant of the Crane","Joan He","","9.78E+12","hardcover","read","9/29/2022","10/3/2022","2022/10/01-2022/10/03",1,"adventurous, challenging, emotional, mysterious","medium","A mix","Yes","Yes","Yes","Yes",4,"","",NA,NA,"Yes","\""""Deep world-building, magical family secrets, and intricate palace politics--Descendant of the Crane soars from page one. Its twists and treacheries kept me guessing until the very end.\"""" Rachel Hartman, New York Times bestselling author of SeraphinaTyrants cut out hearts. Rulers sacrifice their own. Princess Hesina of Yan has always been eager to shirk the responsibilities of the crown, but when her beloved father is murdered, she\'s thrust into power, suddenly the queen of an unstable kingdom. Determined to find her father\'s killer, Hesina does something desperate: she enlists the aid of a soothsayer--a treasonous act, punishable by death... because in Yan, magic was outlawed centuries ago.Using the information illicitly provided by the sooth, and uncertain if she can trust even her family, Hesina turns to Akira--a brilliant investigator who\'s also a convicted criminal with secrets of his own. With the future of her kingdom at stake, can Hesina find justice for her father? Or will the cost be too high?In this shimmering Chinese-inspired fantasy, debut author Joan He introduces a determined and vulnerable young heroine struggling to do right in a world brimming with deception.",44.68,1,1,0,1,0,0,0,0,0,1,0,0,0,0,"Yes"
"23",31,"https://app.thestorygraph.com/books/0d88ae43-1f5a-4740-a40e-25df98bf7580","Warrior Girl Unearthed","Angeline Boulley","","9.78E+12","hardcover","read","7/2/2023","7/3/2023","2023/07/01-2023/07/03",1,"adventurous, challenging, emotional, mysterious","medium","A mix","Yes","Yes","Yes","Yes",4.25,"","",NA,NA,"Yes","#1 New York Times bestselling author of Firekeeper\'s Daughter Angeline Boulley takes us back to Sugar Island in this high-stakes thriller about the power of discovering your stolen history.Perry Firekeeper-Birch has always known who she is - the laidback twin, the troublemaker, the best fisher on Sugar Island. Her aspirations won\'t ever take her far from home, and she wouldn\'t have it any other way. But as the rising number of missing Indigenous women starts circling closer to home, as her family becomes embroiled in a high-profile murder investigation, and as greedy grave robbers seek to profit off of what belongs to her Anishinaabe tribe, Perry begins to question everything.In order to reclaim this inheritance for her people, Perry has no choice but to take matters into her own hands. She can only count on her friends and allies, including her overachieving twin and a charming new boy in town with unwavering morals. Old rivalries, sister secrets, and botched heists cannot - will not - stop her from uncovering the mystery before the ancestors and missing women are lost forever.Sometimes, the truth shouldn\'t stay buried.",34.53,1,1,0,1,0,0,0,0,0,1,0,0,0,0,"Yes"
"218",272,"https://app.thestorygraph.com/books/75250f71-c6a5-4823-a502-e32735f0e3c6","One of Us Is Lying","Karen M. McManus","","9.78E+12","hardcover","read","10/12/2017","8/3/2023","2023/08/02-2023/08/03",1,"dark, emotional, mysterious, tense","medium","A mix","Yes","Yes","Yes","Yes",3.75,"","",NA,NA,"Yes","On Thursday afternoon, five students at Bayview High walk into detention.&nbsp;Bronwyn, the brain, is Yale-bound and never breaks a rule. Addy, the beauty, is the picture-perfect homecoming princess.Nate, the criminal, is already on probation for dealing. Cooper, the athlete, is the all-star baseball pitcher.And Simon, the outcast, is the creator of Bayview High\'s notorious gossip app. Only, Simon never makes it out of that classroom. Before the end of detention, Simon\'s dead. And according to investi­gators, his death wasn\'t an accident. On Thursday, he died. But on Friday, he\'d planned to post juicy reveals about all four of his high-profile classmates, which makes all four of them suspects in his murder. Or are they just the perfect patsies for a killer who\'s still on the loose? Everyone has secrets, right? What really matters is how far you would go to protect them.",66.84,0,0,1,1,0,0,0,0,0,1,0,0,0,1,"Yes"
"429",531,"https://app.thestorygraph.com/books/da49442d-4294-4d9e-962b-b44aff300006","The Midnight Girls","Alicia Jasinska","","9.78E+12","hardcover","read","8/23/2022","8/23/2022","2022/08/22-2022/08/23",1,"adventurous, dark, emotional, tense","medium","A mix","Yes","Yes","It's complicated","Yes",4,"","",NA,NA,"Yes","In a snow-cloaked kingdom, two wicked rivals secretly compete for the pure heart of a prince, only to discover they might be falling for each other.Karnawał season is a time for mischief and revelry. For the next few weeks, all will be wintry balls, glittery disguises, and nightly torch-lit sleigh-parties.&nbsp;Unbeknownst to the merrymakers, two uninvited girls join the fun. Zosia and Marynka are drawn to each other the moment they meet, until they discover they\'re rivals, who both have their sights set on the prince\'s heart. If one consumes a pure heart, she\'ll gain immeasurable power. Marynka plans to bring the prince\'s back to her patron in order to prove herself. While Zosia is determined to take his heart and its power for her own.&nbsp;&nbsp;Their ambition turns into a magical contest with both girls vying to keep the prince out of the other\'s grasp, even as their attraction to one another grows. But their attempts on his life draws the attention of the city that would die for him, and suddenly their escalating rivalry might cost them not just their love for each other, but both their lives.",61.09,1,0,1,1,0,0,0,0,0,0,0,0,0,1,"Yes"
"211",263,"https://app.thestorygraph.com/books/70e8a69f-ec28-4fdc-ad52-582231d73e73","Princess of Souls","Alexandra Christo","","9.78E+12","hardcover","read","10/20/2022","10/21/2022","2022/10/20-2022/10/21",1,"adventurous, dark, emotional, mysterious","medium","A mix","Yes","Yes","It's complicated","Yes",4,"","",NA,NA,"Yes","For sixteen years, Selestra has been trapped in her tower on the Floating Mountain, preparing to take her mother’s place as the King\'s Witch, who foretells deaths in the Festival of Predictions. Outrunning your fate earns a wish and the chance to steal the King’s immortality. But die and your soul is forfeit. And though thousands have tried, nobody has ever beaten death.A soldier in the King\'s army, Nox is an unlikely candidate for the Festival, but, driven by revenge, he is determined to steal the King’s immortality and kill the entirety of his court, starting with Selestra.Yet when Selestra touches Nox in her very first prediction, their fates become entwined, and death seeks to take both their souls. Only by working together can they survive long enough to escape the dark fate and the immortal King that now hunts them.",59.77,1,0,1,1,0,0,0,0,0,1,0,0,0,0,"Yes"
"293",365,"https://app.thestorygraph.com/books/98dd3565-e7da-416e-9778-873c5840e16c","Babel: An Arcane History","R.F. Kuang","","9.78E+12","hardcover","read","8/28/2022","8/31/2022","2022/08/28-2022/08/31",1,"challenging, dark, emotional, informative, mysterious, reflective, tense","medium","A mix","Yes","Yes","Yes","It's complicated",5,"","",NA,NA,"Yes","Traduttore, traditore: An act of translation is always an act of betrayal.  1828. Robin Swift, orphaned by cholera in Canton, is brought to London by the mysterious Professor Lovell. There, he trains for years in Latin, Ancient Greek, and Chinese, all in preparation for the day he\'ll enroll in Oxford University\'s prestigious Royal Institute of Translation — also known as Babel. Babel is the world\'s center of translation and, more importantly, of silver-working: the art of manifesting the meaning lost in translation through enchanted silver bars, to magical effect. Silver-working has made the British Empire unparalleled in power, and Babel\'s research in foreign languages ​​serves the Empire\'s quest to colonize everything it encounters.  Oxford, the city of dreaming spires, is a fairytale for Robin; a utopia dedicated to the pursuit of knowledge. But knowledge serves power, and for Robin, a Chinese boy raised in Britain, serving Babel inevitably means betraying his motherland. As his studies progress Robin finds himself caught between Babel and the shadowy Hermes Society, an organization dedicated to sabotaging the silver-working that supports imperial expansion. When Britain pursues an unjust war with China over silver and opium, Robin must decide: Can powerful institutions be changed from within, or does revolution always require violence? What is he willing to sacrifice to bring Babel down?  Babel — a thematic response to The Secret History and a tonal response to Jonathan Strange &amp; Mr. Norrell — grapples with student revolutions, colonial resistance, and the use of translation as a tool of empire.",37.44,0,1,1,1,0,0,1,0,0,1,1,0,0,1,"Yes"
"475",594,"https://app.thestorygraph.com/books/f67852ad-65b4-4a9d-91c3-801a6770f74d","Malibu Rising","Taylor Jenkins Reid","","9.78E+12","hardcover","read","5/7/2022","5/7/2022","2022/05/06-2022/05/07",1,"emotional, mysterious, reflective","medium","Character","Yes","Yes","It's complicated","Yes",4,"","",NA,NA,"Yes","From the New York Times bestselling author of Daisy Jones &amp; The Six . . . Four famous siblings throw an epic party to celebrate the end of the summer. But over the course of twenty-four hours, their lives will change forever.Malibu: August 1983. It\'s the day of Nina Riva\'s annual end-of-summer party, and anticipation is at a fever pitch. Everyone wants to be around the famous Rivas: Nina, the talented surfer and supermodel; brothers Jay and Hud, one a championship surfer, the other a renowned photographer; and their adored baby sister, Kit. Together the siblings are a source of fascination in Malibu and the world over--especially as the offspring of the legendary singer Mick Riva.&nbsp;The only person not looking forward to the party of the year is Nina herself, who never wanted to be the center of attention, and who has also just been very publicly abandoned by her pro tennis player husband. Oh, and maybe Hud--because it is long past time for him to confess something to the brother from whom he\'s been inseparable since birth.&nbsp;Jay, on the other hand, is counting the minutes until nightfall, when the girl he can\'t stop thinking about promised she\'ll be there.&nbsp;And Kit has a couple secrets of her own--including a guest she invited without consulting anyone.&nbsp;By midnight the party will be completely out of control. By morning, the Riva mansion will have gone up in flames. But before that first spark in the early hours before dawn, the alcohol will flow, the music will play, and the loves and secrets that shaped this family\'s generations will all come rising to the surface.&nbsp;Malibu Rising is a story about one unforgettable night in the life of a family: the night they each have to choose what they will keep from the people who made them . . . and what they will leave behind.",45.53,0,0,0,1,0,0,0,0,0,1,1,0,0,0,"Yes"
"88",114,"https://app.thestorygraph.com/books/34c66d4e-2363-4a88-a43e-40baacae7afa","Legends & Lattes","Travis Baldree","","9.80E+12","paperback","read","5/30/2022","5/31/2022","2022/05/30-2022/05/31",1,"hopeful, lighthearted, relaxing","medium","A mix","Yes","Yes","It's complicated","Yes",4.5,"","",NA,NA,"Yes","High Fantasy with a double-shot of self-reinvention Worn out after decades of packing steel and raising hell, Viv the orc barbarian cashes out of the warrior’s life with one final score. A forgotten legend, a fabled artifact, and an unreasonable amount of hope lead her to the streets of Thune, where she plans to open the first coffee shop the city has ever seen. However, her dreams of a fresh start pulling shots instead of swinging swords are hardly a sure bet. Old frenemies and Thune’s shady underbelly may just upset her plans. To finally build something that will last, Viv will need some new partners and a different kind of resolve.A hot cup of fantasy slice-of-life with a dollop of romantic froth.&nbsp;",63.43,0,0,0,0,0,1,0,0,1,0,0,1,0,0,"Yes"
"480",600,"https://app.thestorygraph.com/books/fa1b4d61-433d-41db-b4b9-32be94986c08","Disorientation","Elaine Hsieh Chou","","9.78E+12","hardcover","read","1/10/2023","1/10/2023","2023/01/09-2023/01/10",1,"challenging, funny, hopeful, informative, reflective","medium","A mix","Yes","Yes","Yes","Yes",5,"","",NA,NA,"Yes","A Taiwanese American woman’s coming-of-consciousness ignites eye-opening revelations and chaos on a college campus in this outrageously hilarious and startlingly tender debut novelTwenty-nine-year-old PhD student Ingrid Yang is desperate to finish her dissertation on the late canonical poet Xiao-Wen Chou and never read about “Chinese-y” things again. But after years of grueling research, all she has to show for her efforts are junk food addiction and stomach pain. When she accidentally stumbles upon a curious note in the Chou archives one afternoon, she convinces herself it’s her ticket out of academic hell.But Ingrid’s in much deeper than she thinks. Her clumsy exploits to unravel the note’s message lead to an explosive discovery, upending not only her sheltered life within academia but her entire world beyond it. With her trusty friend Eunice Kim by her side and her rival Vivian Vo hot on her tail, together they set off a roller coaster of mishaps and misadventures, from book burnings and OTC drug hallucinations, to hot-button protests and Yellow Peril 2.0 propaganda.&nbsp;In the aftermath, nothing looks the same to Ingrid—including her gentle and doting fiancé, Stephen Greene. When he embarks on a book tour with the super kawaii Japanese author he’s translated, doubts and insecurities creep in for the first time… As the events Ingrid instigated keep spiraling, she’ll have to confront her sticky relationship to white men and white institutions—and, most of all, herself.For readers of Paul Beatty’s The Sellout and Charles Yu’s Interior Chinatown, this uproarious and bighearted satire is a blistering send-up of privilege and power in America, and a profound reckoning of individual complicity and unspoken rage. In this electrifying debut novel from a provocative new voice, Elaine Hsieh Chou asks who gets to tell our stories—and how the story changes when we finally tell it ourselves.",28.13,0,1,0,0,1,1,1,0,0,0,1,0,0,0,"Yes"
"160",205,"https://app.thestorygraph.com/books/dfa40233-a134-4bec-a43d-bf1213f428fd","Friends Like These","Meg Rosoff","","9.78E+12","paperback","read","7/7/2023","7/7/2023","2023/07/06-2023/07/07",1,"emotional, reflective","slow","Character","Yes","No","No","Yes",2,"","",NA,NA,"Yes","From the incomparable Meg Rosoff, bestselling author of How I Live Now and The Great Godden, comes an alluring coming-of-age tale about the summer that changes everything.New York City. June, 1982. When eighteen-year-old Beth arrives in Manhattan for a prestigious journalism internship, everything feels brand new – and not always in a good way. A cockroach-infested sublet and a disaffected roommate are the least of her worries, and she soon finds herself caught up with her fellow interns – preppy Oliver, ruthless Dan and ridiculously cool, beautiful, wild Edie.Soon, Beth and Edie are best friends – the sort of heady, all-consuming best-friendship that\'s impossible to resist. But with the mercury rising and deceit mounting up, betrayal lies just around the corner. Who needs enemies … when you have friends like these?From bestselling, award-winning author Meg Rosoff comes a gritty, intoxicating novel about a summer of unforgettable firsts: of independence, lies, love and the inevitable loss of innocence. Sharp and irresistible, it\'s perfect for fans of Sally Rooney\'s Conversations with Friends and Exciting Times by Naoise Dolan.",50.2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"No"
"212",264,"https://app.thestorygraph.com/books/70f96962-f7f0-4451-9de4-3e3373a1dfa3","All of Us Villains","C.L. Herman, Amanda Foody","","9.78E+12","hardcover","read","11/12/2022","11/13/2022","2022/11/11-2022/11/13",1,"adventurous, dark, mysterious","medium","A mix","It's complicated","Yes","No","Yes",4,"","",NA,NA,"No","The Blood Moon rises. The Blood Veil falls. The Tournament begins.Every generation, at the coming of the Blood Moon, seven families in the remote city of Ilvernath each name a champion to compete in a tournament to the death.&nbsp;The prize? Exclusive control over a secret wellspring of high magick, the most powerful resource in the world—one thought long depleted.&nbsp;This year, thanks to a salacious tell-all book, the seven champions are thrust into worldwide spotlight, granting each of them new information, new means to win, and most importantly, a choice: accept their fate or rewrite their story.But this is a story that must be penned in blood.",53.04,1,0,1,0,0,0,0,0,0,1,0,0,0,0,"Yes"
